YEAR,PADD,production_var,input_var
2005,1,2079,1627
2006,1,2325,1512
2007,1,2421,1513
2008,1,2789,1421
2009,1,3066,1259
2010,1,3321,1118
2011,1,3501,1097
2012,1,3397,919
2013,1,3492,1038
2014,1,3562,1087
2015,1,3692,1122
2016,1,3790,1108
2017,1,3783,1071
2018,1,3783,1045
2019,1,3758,896
2005,2,3191,3298
2006,2,3199,3297
2007,2,3163,3226
2008,2,3457,3221
2009,2,3428,3135
2010,2,3680,3281
2011,2,3773,3372
2012,2,3816,3442
2013,2,3894,3406
2014,2,4125,3523
2015,2,4198,3561
2016,2,4254,3621
2017,2,4310,3758
2018,2,4346,3795
2019,2,4363,3803
2005,3,7391,7098
2006,3,7317,7260
2007,3,7403,7315
2008,3,6949,6899
2009,3,6623,7020
2010,3,6627,7433
2011,3,6530,7447
2012,3,6499,7734
2013,3,6722,7952
2014,3,6903,8255
2015,3,7072,8512
2016,3,7077,8511
2017,3,7179,8719
2018,3,7480,9035
2019,3,7384,8831
2005,4,529,558
2006,4,527,553
2007,4,520,542
2008,4,536,536
2009,4,547,540
2010,4,541,540
2011,4,543,545
2012,4,569,573
2013,4,586,578
2014,4,621,581
2015,4,602,602
2016,4,591,598
2017,4,604,622
2018,4,597,620
2019,4,603,629
2005,5,2911,2638
2006,5,2877,2621
2007,5,2815,2560
2008,5,2875,2571
2009,5,2767,2382
2010,5,2786,2351
2011,5,2848,2346
2012,5,2826,2331
2013,5,2918,2339
2014,5,2980,2402
2015,5,2873,2390
2016,5,2913,2349
2017,5,2957,2420
2018,5,2990,2474
2019,5,2922,2404
