Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Hydroskimming Configuration (0),0,ADU/VDU,2035,1,LOW,HEAVY,SOUR,17.01750169,472.6904702
Hydroskimming Configuration (0),0,CNR,2035,1,LOW,HEAVY,SOUR,15.5594129,484.6208807
Hydroskimming Configuration (0),0,FCC/RFCC,2035,1,LOW,HEAVY,SOUR,3.56E-17,0
Hydroskimming Configuration (0),0,Coker,2035,1,LOW,HEAVY,SOUR,1.83E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,1,LOW,HEAVY,SOUR,15.28376518,493.7057771
Hydroskimming Configuration (0),0,Steam Boiler,2035,1,LOW,HEAVY,SOUR,3.179195732,934.9945987
Hydroskimming Configuration (0),0,SMR,2035,1,LOW,HEAVY,SOUR,0,0
Hydroskimming Configuration (0),0,Others,2035,1,LOW,HEAVY,SOUR,3.771735102,877.3618909
Medium Conversion:  FCC (1),1,ADU/VDU,2035,1,LOW,HEAVY,SOUR,553.8802747,265.93989
Medium Conversion:  FCC (1),1,CNR,2035,1,LOW,HEAVY,SOUR,274.844218,290.0888544
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,1,LOW,HEAVY,SOUR,505.0897538,178.3753135
Medium Conversion:  FCC (1),1,Coker,2035,1,LOW,HEAVY,SOUR,281.340161,289.1202318
Medium Conversion:  FCC (1),1,Hydrotreater,2035,1,LOW,HEAVY,SOUR,527.630377,267.5528607
Medium Conversion:  FCC (1),1,Steam Boiler,2035,1,LOW,HEAVY,SOUR,85.00033234,358.1615415
Medium Conversion:  FCC (1),1,SMR,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion:  FCC (1),1,Others,2035,1,LOW,HEAVY,SOUR,121.4669446,330.2096819
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Coker,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: GO-HC (2),2,Others,2035,1,LOW,HEAVY,SOUR,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,1,LOW,HEAVY,SOUR,147.0121895,308.976206
