Refinery Configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Total Avoided CO2,kt/y","Marginal Abatement Cost, $/t"
Hydroskimming Configuration (0),0,ADU/VDU,2035,1,LOW,LIGHT,SWEET,16.92211623,474.2134085
Hydroskimming Configuration (0),0,CNR,2035,1,LOW,LIGHT,SWEET,14.62007424,494.8142798
Hydroskimming Configuration (0),0,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,3.56E-17,0
Hydroskimming Configuration (0),0,Coker,2035,1,LOW,LIGHT,SWEET,2.05E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,1,LOW,LIGHT,SWEET,20.17178247,455.5320558
Hydroskimming Configuration (0),0,Steam Boiler,2035,1,LOW,LIGHT,SWEET,3.305131107,917.8138946
Hydroskimming Configuration (0),0,SMR,2035,1,LOW,LIGHT,SWEET,0,0
Hydroskimming Configuration (0),0,Others,2035,1,LOW,LIGHT,SWEET,4.760283034,778.5666525
Medium Conversion:  FCC (1),1,ADU/VDU,2035,1,LOW,LIGHT,SWEET,500.0817135,270.5774967
Medium Conversion:  FCC (1),1,CNR,2035,1,LOW,LIGHT,SWEET,348.7028627,282.5446719
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,479.0698486,180.0808904
Medium Conversion:  FCC (1),1,Coker,2035,1,LOW,LIGHT,SWEET,158.6878964,317.9790959
Medium Conversion:  FCC (1),1,Hydrotreater,2035,1,LOW,LIGHT,SWEET,499.5182865,270.6194511
Medium Conversion:  FCC (1),1,Steam Boiler,2035,1,LOW,LIGHT,SWEET,97.3089658,350.9421618
Medium Conversion:  FCC (1),1,SMR,2035,1,LOW,LIGHT,SWEET,37.98577413,394.027905
Medium Conversion:  FCC (1),1,Others,2035,1,LOW,LIGHT,SWEET,124.8770284,331.6406457
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,CNR,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,0.00E+00,0
Medium Conversion: GO-HC (2),2,Coker,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,SMR,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Others,2035,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2035,1,LOW,LIGHT,SWEET,133.8631667,313.6361779
Medium Conversion: FCC & GO-HC (3),3,CNR,2035,1,LOW,LIGHT,SWEET,77.31399261,344.7906492
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,105.9397313,230.274431
Medium Conversion: FCC & GO-HC (3),3,Coker,2035,1,LOW,LIGHT,SWEET,44.00393227,384.5304247
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2035,1,LOW,LIGHT,SWEET,135.3212566,313.9421798
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2035,1,LOW,LIGHT,SWEET,23.93273871,450.0386416
Medium Conversion: FCC & GO-HC (3),3,SMR,2035,1,LOW,LIGHT,SWEET,72.59561404,292.1750274
Medium Conversion: FCC & GO-HC (3),3,Others,2035,1,LOW,LIGHT,SWEET,46.63378254,380.9165466
Deep Conversion: FCC (4),4,ADU/VDU,2035,1,LOW,LIGHT,SWEET,120.8335305,318.3690744
Deep Conversion: FCC (4),4,CNR,2035,1,LOW,LIGHT,SWEET,120.9533021,317.7009453
Deep Conversion: FCC (4),4,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,140.6894,217.0261169
Deep Conversion: FCC (4),4,Coker,2035,1,LOW,LIGHT,SWEET,45.3843522,382.9332833
Deep Conversion: FCC (4),4,Hydrotreater,2035,1,LOW,LIGHT,SWEET,133.4005813,314.0579198
Deep Conversion: FCC (4),4,Steam Boiler,2035,1,LOW,LIGHT,SWEET,27.81093124,434.8849687
Deep Conversion: FCC (4),4,SMR,2035,1,LOW,LIGHT,SWEET,40.33975938,341.1763229
Deep Conversion: FCC (4),4,Others,2035,1,LOW,LIGHT,SWEET,24.58185984,455.8064939
Deep Conversion: GO-HC (5),5,ADU/VDU,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,CNR,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,0.00E+00,0
Deep Conversion: GO-HC (5),5,Coker,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,SMR,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Others,2035,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2035,1,LOW,LIGHT,SWEET,145.0898,312.5941572
Deep Conversion: FCC & GO-HC (6),6,CNR,2035,1,LOW,LIGHT,SWEET,78.30593751,345.347784
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2035,1,LOW,LIGHT,SWEET,137.0697033,218.0461462
Deep Conversion: FCC & GO-HC (6),6,Coker,2035,1,LOW,LIGHT,SWEET,46.52946255,381.8189593
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2035,1,LOW,LIGHT,SWEET,159.6477038,308.5781189
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2035,1,LOW,LIGHT,SWEET,26.94175091,437.9728517
Deep Conversion: FCC & GO-HC (6),6,SMR,2035,1,LOW,LIGHT,SWEET,113.3394702,263.9918659
Deep Conversion: FCC & GO-HC (6),6,Others,2035,1,LOW,LIGHT,SWEET,51.24145176,374.7959137
Hydroskimming Configuration (0),0,ADU/VDU,2050,1,LOW,LIGHT,SWEET,15.72746997,481.6643947
Hydroskimming Configuration (0),0,CNR,2050,1,LOW,LIGHT,SWEET,7.148033604,634.7590816
Hydroskimming Configuration (0),0,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,3.56E-17,0
Hydroskimming Configuration (0),0,Coker,2050,1,LOW,LIGHT,SWEET,1.98E-17,0
Hydroskimming Configuration (0),0,Hydrotreater,2050,1,LOW,LIGHT,SWEET,13.32672947,513.3480882
Hydroskimming Configuration (0),0,Steam Boiler,2050,1,LOW,LIGHT,SWEET,2.123266093,1174.21525
Hydroskimming Configuration (0),0,SMR,2050,1,LOW,LIGHT,SWEET,2.762397576,1132.395532
Hydroskimming Configuration (0),0,Others,2050,1,LOW,LIGHT,SWEET,7.988809572,610.229897
Medium Conversion:  FCC (1),1,ADU/VDU,2050,1,LOW,LIGHT,SWEET,484.1663501,274.0761091
Medium Conversion:  FCC (1),1,CNR,2050,1,LOW,LIGHT,SWEET,470.6715581,274.3970395
Medium Conversion:  FCC (1),1,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,428.3995186,183.4906838
Medium Conversion:  FCC (1),1,Coker,2050,1,LOW,LIGHT,SWEET,186.7357126,312.1578293
Medium Conversion:  FCC (1),1,Hydrotreater,2050,1,LOW,LIGHT,SWEET,582.4447509,268.1843009
Medium Conversion:  FCC (1),1,Steam Boiler,2050,1,LOW,LIGHT,SWEET,109.8011283,344.7621604
Medium Conversion:  FCC (1),1,SMR,2050,1,LOW,LIGHT,SWEET,88.34791298,300.6238615
Medium Conversion:  FCC (1),1,Others,2050,1,LOW,LIGHT,SWEET,98.59547096,355.0283347
Medium Conversion: GO-HC (2),2,ADU/VDU,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,CNR,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,0.00E+00,0
Medium Conversion: GO-HC (2),2,Coker,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Hydrotreater,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Steam Boiler,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,SMR,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: GO-HC (2),2,Others,2050,1,LOW,LIGHT,SWEET,0,0
Medium Conversion: FCC & GO-HC (3),3,ADU/VDU,2050,1,LOW,LIGHT,SWEET,125.6392808,315.7611711
Medium Conversion: FCC & GO-HC (3),3,CNR,2050,1,LOW,LIGHT,SWEET,69.09299141,351.2071581
Medium Conversion: FCC & GO-HC (3),3,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,101.6490271,232.1845666
Medium Conversion: FCC & GO-HC (3),3,Coker,2050,1,LOW,LIGHT,SWEET,41.95927464,386.8051329
Medium Conversion: FCC & GO-HC (3),3,Hydrotreater,2050,1,LOW,LIGHT,SWEET,112.5775372,322.5993073
Medium Conversion: FCC & GO-HC (3),3,Steam Boiler,2050,1,LOW,LIGHT,SWEET,22.12973991,458.5915479
Medium Conversion: FCC & GO-HC (3),3,SMR,2050,1,LOW,LIGHT,SWEET,45.87681812,324.71155
Medium Conversion: FCC & GO-HC (3),3,Others,2050,1,LOW,LIGHT,SWEET,47.06849784,378.0780365
Deep Conversion: FCC (4),4,ADU/VDU,2050,1,LOW,LIGHT,SWEET,116.3797425,319.0590507
Deep Conversion: FCC (4),4,CNR,2050,1,LOW,LIGHT,SWEET,66.49178675,348.6757762
Deep Conversion: FCC (4),4,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,113.0780096,226.4955671
Deep Conversion: FCC (4),4,Coker,2050,1,LOW,LIGHT,SWEET,38.79179841,393.1922945
Deep Conversion: FCC (4),4,Hydrotreater,2050,1,LOW,LIGHT,SWEET,121.3764251,317.8187805
Deep Conversion: FCC (4),4,Steam Boiler,2050,1,LOW,LIGHT,SWEET,21.43306859,462.1828295
Deep Conversion: FCC (4),4,SMR,2050,1,LOW,LIGHT,SWEET,54.91788377,308.3993982
Deep Conversion: FCC (4),4,Others,2050,1,LOW,LIGHT,SWEET,36.67637839,399.6072309
Deep Conversion: GO-HC (5),5,ADU/VDU,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,CNR,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,0.00E+00,0
Deep Conversion: GO-HC (5),5,Coker,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Hydrotreater,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Steam Boiler,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,SMR,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: GO-HC (5),5,Others,2050,1,LOW,LIGHT,SWEET,0,0
Deep Conversion: FCC & GO-HC (6),6,ADU/VDU,2050,1,LOW,LIGHT,SWEET,152.5755057,312.853837
Deep Conversion: FCC & GO-HC (6),6,CNR,2050,1,LOW,LIGHT,SWEET,111.400026,326.7425531
Deep Conversion: FCC & GO-HC (6),6,FCC/RFCC,2050,1,LOW,LIGHT,SWEET,86.82130015,242.8634944
Deep Conversion: FCC & GO-HC (6),6,Coker,2050,1,LOW,LIGHT,SWEET,58.73547138,366.269258
Deep Conversion: FCC & GO-HC (6),6,Hydrotreater,2050,1,LOW,LIGHT,SWEET,156.9289101,312.1541984
Deep Conversion: FCC & GO-HC (6),6,Steam Boiler,2050,1,LOW,LIGHT,SWEET,30.58253292,426.0468263
Deep Conversion: FCC & GO-HC (6),6,SMR,2050,1,LOW,LIGHT,SWEET,86.77228714,281.3335821
Deep Conversion: FCC & GO-HC (6),6,Others,2050,1,LOW,LIGHT,SWEET,39.80719107,403.6724105
