Refinery configuration,Config,Capture Scenario,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd","Total Avoided CO2_Avg,kt/y","Avoidance Cost Ref, $/t","Avoidance Cost 0.5Ref, $/t","Avoidance Cost 1.5Ref, $/t"
Hydroskimming Configuration (0),0,No Carbon Capture,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,ADU/VDU,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,17.26727269,465.7987115,463.0709979,472.5258917
Hydroskimming Configuration (0),0,CNR,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,FCC/RFCC,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,Coker,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0,0,0
Hydroskimming Configuration (0),0,Hydrotreater,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,8.113772056,604.2878728,594.7041968,627.9234614
Hydroskimming Configuration (0),0,Steam Boiler,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,1.314833182,1582.779336,1561.258861,1635.853865
Hydroskimming Configuration (0),0,SMR,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,5.069582898,763.3598032,763.3598032,763.3598032
Hydroskimming Configuration (0),0,Others,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,29.98543398,406.2003429,400.4207316,420.4542172
Medium Conversion:  FCC (1),1,No Carbon Capture,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,0,0,0,0
Medium Conversion:  FCC (1),1,ADU/VDU,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,549.6046875,264.365051,263.5718068,266.3213768
Medium Conversion:  FCC (1),1,CNR,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,141.9568992,317.3426483,316.5422467,319.3166261
Medium Conversion:  FCC (1),1,FCC/RFCC,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,456.9262423,181.0053863,179.9056375,183.7176244
Medium Conversion:  FCC (1),1,Coker,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,280.8666434,286.6628159,285.8633456,288.6344967
Medium Conversion:  FCC (1),1,Hydrotreater,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,369.9273263,276.8049202,276.0114773,278.7617359
Medium Conversion:  FCC (1),1,Steam Boiler,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,68.00513552,371.0335305,369.9957424,373.5929588
Medium Conversion:  FCC (1),1,SMR,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,21.5080713,479.4790541,479.4790541,479.4790541
Medium Conversion:  FCC (1),1,Others,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,124.169099,324.2021324,323.1528252,326.7899695
Medium Conversion: GO-HC (2),2,No Carbon Capture,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
Medium Conversion: GO-HC (2),2,ADU/VDU,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0,0,0
