Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Normalized Avoidance cost,Normalized Avoided CO2
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,96750.98342,305.3189335,51.11861703
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,96750.98342,272.4730556,52.86188844
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,96750.98342,297.8199706,61.98416123
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,315.2517455,45.12761629
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,281.4508086,46.66711152
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,307.0973353,54.75565311
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,105448.553,328.1553559,39.91603635
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,105448.553,290.8878563,41.27388691
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,105448.553,323.4243707,48.30734482
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,390.561855,31.42334758
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,339.7005119,32.50466006
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,LOW,LIGHT,SWEET,351604.4796,394.027905,38.17249895
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,LOW,LIGHT,SWEET,1000,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,298.3945101,60.18900558
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,LOW,LIGHT,SWEET,96750.98342,265.5092289,62.25111225
