Refinery configuration,Config,Capture Scenario,SMR Capture Locations,Year,PADD,Scenario,API,Sul,"Crude Throughput, bpd",Avoidance Cost,"Avoided CO2, kt/y",Normalized Avoidance cost,Normalized Avoided CO2
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,690.7342354,5.244539338,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,632.3604986,5.426391379,0,0
Hydroskimming Configuration (0),0,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,16196.08862,661.9233413,6.281089067,0,0
Medium Conversion:  FCC (1),1,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,226.0822453,145.1809565,0,0
Medium Conversion:  FCC (1),1,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,196.9751666,150.2144509,0,0
Medium Conversion:  FCC (1),1,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,351604.4796,225.5289095,176.7726509,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,1000,2266.471536,0.899520482,0,0
Medium Conversion: GO-HC (2),2,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,2114.929133,0.915719442,0,0
Medium Conversion: GO-HC (2),2,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,2234.271337,1.069362258,0,0
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,96750.98342,280.6730427,51.81432368,305.3189335,51.11861703
Medium Conversion: FCC & GO-HC (3),3,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,96750.98342,249.38406,53.58132041,272.4730556,52.86188844
Medium Conversion: FCC & GO-HC (3),3,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,96750.98342,273.5295308,62.82774417,297.8199706,61.98416123
Deep Conversion: FCC (4),4,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,283.0801069,50.33321903,315.2517455,45.12761629
Deep Conversion: FCC (4),4,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,251.6642814,52.05029954,281.4508086,46.66711152
Deep Conversion: FCC (4),4,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,83726.72923,275.5011002,61.0718781,307.0973353,54.75565311
Deep Conversion: GO-HC (5),5,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,1000,2236.761753,0.914442641,0,0
Deep Conversion: GO-HC (5),5,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,2086.672733,0.931180588,0,0
Deep Conversion: GO-HC (5),5,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,1000,2203.275372,1.087692731,0,0
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA inlet,2035,PADD1,LOW,HEAVY,SOUR,105448.553,254.7460984,78.96205445,328.1553559,39.91603635
Deep Conversion: FCC & GO-HC (6),6,SMR,PSA outlet,2035,PADD1,LOW,HEAVY,SOUR,105448.553,224.8422021,81.64815957,290.8878563,41.27388691
Deep Conversion: FCC & GO-HC (6),6,SMR,Furnance outlet,2035,PADD1,LOW,HEAVY,SOUR,105448.553,250.9498982,95.56177268,323.4243707,48.30734482
Hydroskimming Configuration (0),0,SMR,PSA inlet,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,579.5520536,7.310606681,0,0
Hydroskimming Configuration (0),0,SMR,PSA outlet,2035,PADD1,LOW,LIGHT,SWEET,16196.08862,529.1833019,7.562601003,0,0
