Electrification Scenarios,Year,PADD,API Level,Sul Level,Attribute,Value,,,
LOW,2035,PADD 1,HEAVY,SWEET,0,32.30951638,2.477500965,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SWEET,1,344.8127436,53.78461788,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SWEET,2,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SWEET,3,98.71614592,14.79991006,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SWEET,4,77.23669471,12.80760172,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SWEET,5,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SWEET,6,85.86750459,16.13036937,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,0,32.30951638,2.477500965,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,1,344.8127436,53.78461788,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,2,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,3,98.71614592,14.79991006,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,4,77.23669471,12.80760172,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,5,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,HEAVY,SOUR,6,85.86750459,16.13036937,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,0,90.9590732,2.477500965,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,1,354.6484206,53.78461788,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,2,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,3,83.29732181,14.79991006,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,4,58.26749596,12.80760172,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,5,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SWEET,6,53.91978696,16.13036937,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,0,90.9590732,2.477500965,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,1,354.6484206,53.78461788,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,2,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,3,83.29732181,14.79991006,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,4,58.26749596,12.80760172,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,5,0,0,16.13036937,50.90397862
LOW,2035,PADD 1,LIGHT,SOUR,6,53.91978696,16.13036937,16.13036937,50.90397862
