,EmissionsThreshold,OilPrices,Risk.Free.Interest.Rate,Carbon.Capture.Operating.Cost.Variation,Carbon.Price.Variation,Carbon.Capture.CapEx,Year,RO_Options,Count,Total_Count,Percentage
1,Carbon Tax,Low,Ref,Ref,Ref,Ref,2019,Continue Operation,1000,1000,1
2,Carbon Tax,Low,Ref,Ref,Ref,Ref,2020,Continue Operation,2000,2000,1
3,Carbon Tax,Low,Ref,Ref,Ref,Ref,2021,Continue Operation,3000,3000,1
4,Carbon Tax,Low,Ref,Ref,Ref,Ref,2022,Continue Operation,2322,4000,0.5805
5,Carbon Tax,Low,Ref,Ref,Ref,Ref,2022,Deploy Carbon Capture,1678,4000,0.4195
6,Carbon Tax,Low,Ref,Ref,Ref,Ref,2023,Continue Operation,2322,5000,0.4644
7,Carbon Tax,Low,Ref,Ref,Ref,Ref,2023,Deploy Carbon Capture,2678,5000,0.5356
8,Carbon Tax,Low,Ref,Ref,Ref,Ref,2024,Continue Operation,2322,6000,0.387
9,Carbon Tax,Low,Ref,Ref,Ref,Ref,2024,Deploy Carbon Capture,3678,6000,0.613
10,Carbon Tax,Low,Ref,Ref,Ref,Ref,2025,Continue Operation,2322,7000,0.331714286
11,Carbon Tax,Low,Ref,Ref,Ref,Ref,2025,Deploy Carbon Capture,4678,7000,0.668285714
12,Carbon Tax,Low,Ref,Ref,Ref,Ref,2026,Continue Operation,2322,8000,0.29025
13,Carbon Tax,Low,Ref,Ref,Ref,Ref,2026,Deploy Carbon Capture,5678,8000,0.70975
14,Carbon Tax,Low,Ref,Ref,Ref,Ref,2027,Continue Operation,2318,9000,0.257555556
15,Carbon Tax,Low,Ref,Ref,Ref,Ref,2027,Deploy Carbon Capture,6682,9000,0.742444444
16,Carbon Tax,Low,Ref,Ref,Ref,Ref,2028,Continue Operation,2015,10000,0.2015
17,Carbon Tax,Low,Ref,Ref,Ref,Ref,2028,Deploy Carbon Capture,6789,10000,0.6789
18,Carbon Tax,Low,Ref,Ref,Ref,Ref,2028,Shutdown Refinery,1196,10000,0.1196
19,Carbon Tax,Low,Ref,Ref,Ref,Ref,2029,Continue Operation,1655,11000,0.150454545
20,Carbon Tax,Low,Ref,Ref,Ref,Ref,2029,Deploy Carbon Capture,6826,11000,0.620545455
21,Carbon Tax,Low,Ref,Ref,Ref,Ref,2029,Shutdown Refinery,2519,11000,0.229
22,Carbon Tax,Low,Ref,Ref,Ref,Ref,2030,Continue Operation,100,12000,0.008333333
23,Carbon Tax,Low,Ref,Ref,Ref,Ref,2030,Deploy Carbon Capture,365,12000,0.030416667
24,Carbon Tax,Low,Ref,Ref,Ref,Ref,2030,Shutdown Refinery,11535,12000,0.96125
25,Carbon Tax,Low,Ref,Ref,Ref,Ref,2031,Continue Operation,32,13000,0.002461538
26,Carbon Tax,Low,Ref,Ref,Ref,Ref,2031,Deploy Carbon Capture,422,13000,0.032461538
27,Carbon Tax,Low,Ref,Ref,Ref,Ref,2031,Shutdown Refinery,12546,13000,0.965076923
28,Carbon Tax,Low,Ref,Ref,Ref,Ref,2032,Continue Operation,2,14000,0.000142857
29,Carbon Tax,Low,Ref,Ref,Ref,Ref,2032,Deploy Carbon Capture,452,14000,0.032285714
30,Carbon Tax,Low,Ref,Ref,Ref,Ref,2032,Shutdown Refinery,13546,14000,0.967571429
31,Carbon Tax,Low,Ref,Ref,Ref,Ref,2033,Deploy Carbon Capture,452,15000,0.030133333
32,Carbon Tax,Low,Ref,Ref,Ref,Ref,2033,Shutdown Refinery,14548,15000,0.969866667
33,Carbon Tax,Low,Ref,Ref,Ref,Ref,2034,Deploy Carbon Capture,445,16000,0.0278125
34,Carbon Tax,Low,Ref,Ref,Ref,Ref,2034,Shutdown Refinery,15555,16000,0.9721875
35,Carbon Tax,Low,Ref,Ref,Ref,Ref,2035,Deploy Carbon Capture,445,17000,0.026176471
36,Carbon Tax,Low,Ref,Ref,Ref,Ref,2035,Shutdown Refinery,16555,17000,0.973823529
37,Carbon Tax,Low,Ref,Ref,Ref,Ref,2036,Deploy Carbon Capture,445,18000,0.024722222
38,Carbon Tax,Low,Ref,Ref,Ref,Ref,2036,Shutdown Refinery,17555,18000,0.975277778
39,Carbon Tax,Low,Ref,Ref,Ref,Ref,2037,Deploy Carbon Capture,445,19000,0.023421053
40,Carbon Tax,Low,Ref,Ref,Ref,Ref,2037,Shutdown Refinery,18555,19000,0.976578947
41,Carbon Tax,Low,Ref,Ref,Ref,Ref,2038,Deploy Carbon Capture,444,20000,0.0222
42,Carbon Tax,Low,Ref,Ref,Ref,Ref,2038,Shutdown Refinery,19556,20000,0.9778
43,Carbon Tax,Low,Ref,Ref,Ref,Ref,2039,Deploy Carbon Capture,443,21000,0.021095238
44,Carbon Tax,Low,Ref,Ref,Ref,Ref,2039,Shutdown Refinery,20557,21000,0.978904762
45,Carbon Tax,Low,Ref,Ref,Ref,Ref,2040,Deploy Carbon Capture,443,22000,0.020136364
46,Carbon Tax,Low,Ref,Ref,Ref,Ref,2040,Shutdown Refinery,21557,22000,0.979863636
47,Carbon Tax,Low,Ref,Ref,Ref,Ref,2041,Deploy Carbon Capture,439,23000,0.019086957
48,Carbon Tax,Low,Ref,Ref,Ref,Ref,2041,Shutdown Refinery,22561,23000,0.980913043
49,Carbon Tax,Low,Ref,Ref,Ref,Ref,2042,Deploy Carbon Capture,433,24000,0.018041667
50,Carbon Tax,Low,Ref,Ref,Ref,Ref,2042,Shutdown Refinery,23567,24000,0.981958333
51,Carbon Tax,Low,Ref,Ref,Ref,Ref,2043,Deploy Carbon Capture,420,25000,0.0168
52,Carbon Tax,Low,Ref,Ref,Ref,Ref,2043,Shutdown Refinery,24580,25000,0.9832
53,Carbon Tax,Low,Ref,Ref,Ref,Ref,2044,Deploy Carbon Capture,392,26000,0.015076923
54,Carbon Tax,Low,Ref,Ref,Ref,Ref,2044,Shutdown Refinery,25608,26000,0.984923077
55,Carbon Tax,Low,Ref,Ref,Ref,Ref,2045,Deploy Carbon Capture,333,27000,0.012333333
56,Carbon Tax,Low,Ref,Ref,Ref,Ref,2045,Shutdown Refinery,26667,27000,0.987666667
57,Carbon Tax,Low,Ref,Ref,Ref,Ref,2046,Deploy Carbon Capture,207,28000,0.007392857
58,Carbon Tax,Low,Ref,Ref,Ref,Ref,2046,Shutdown Refinery,27793,28000,0.992607143
59,Carbon Tax,Low,Ref,Ref,Ref,Ref,2047,Deploy Carbon Capture,96,29000,0.003310345
60,Carbon Tax,Low,Ref,Ref,Ref,Ref,2047,Shutdown Refinery,28904,29000,0.996689655
61,Carbon Tax,Low,Ref,Ref,Ref,Ref,2048,Deploy Carbon Capture,19,30000,0.000633333
62,Carbon Tax,Low,Ref,Ref,Ref,Ref,2048,Shutdown Refinery,29981,30000,0.999366667
63,Carbon Tax,Low,Ref,Ref,Ref,Ref,2049,Shutdown Refinery,31000,31000,1
64,Carbon Tax,Low,Ref,Ref,Ref,Ref,2050,Shutdown Refinery,32000,32000,1
65,Carbon Tax,High,Ref,Ref,Ref,Ref,2019,Continue Operation,1000,1000,1
66,Carbon Tax,High,Ref,Ref,Ref,Ref,2020,Continue Operation,2000,2000,1
67,Carbon Tax,High,Ref,Ref,Ref,Ref,2021,Continue Operation,3000,3000,1
68,Carbon Tax,High,Ref,Ref,Ref,Ref,2022,Continue Operation,2016,4000,0.504
69,Carbon Tax,High,Ref,Ref,Ref,Ref,2022,Deploy Carbon Capture,1984,4000,0.496
70,Carbon Tax,High,Ref,Ref,Ref,Ref,2023,Continue Operation,2016,5000,0.4032
71,Carbon Tax,High,Ref,Ref,Ref,Ref,2023,Deploy Carbon Capture,2984,5000,0.5968
