PADD,Year,API_BAU,API_LB,API_UB,Sulfur_BAU,Sulfur_LB,Sulfur_UB
1,2021,36.06,36.06,36.06,0.89,0.89,0.89
1,2022,34.03559981,32.94980325,35.12139637,0.883203583,0.743113863,1.049702619
1,2023,33.99119962,32.63330217,35.34909707,0.876459066,0.686611265,1.118799724
1,2024,33.94679943,32.36231567,35.53128319,0.869766052,0.64495955,1.172930901
1,2025,33.90239924,32.11940558,35.68539291,0.86312415,0.611029691,1.219226021
1,2026,33.85799905,31.89603047,35.81996763,0.856532968,0.582049078,1.26045853
1,2027,33.81359886,31.68725128,35.93994645,0.849992119,0.556591446,1.298055526
1,2028,33.76919867,31.48990738,36.04848997,0.843501219,0.533807295,1.332867334
1,2029,33.72479848,31.30183185,36.14776512,0.837059886,0.513141786,1.365449612
1,2030,33.68039829,31.12146259,36.239334,0.830667742,0.494208647,1.396189445
1,2031,33.6359981,30.94762964,36.32436657,0.824324411,0.476726025,1.425369495
1,2032,33.59159791,30.7794299,36.40376593,0.81802952,0.4604807,1.453203783
1,2033,33.54719772,30.6161491,36.47824635,0.8117827,0.44530669,1.479859087
1,2034,33.50279753,30.45721077,36.5483843,0.805583583,0.431071743,1.505468449
1,2035,33.45839734,30.30214176,36.61465292,0.799431805,0.417668434,1.53014008
1,2036,33.41399716,30.15054804,36.67744627,0.793327005,0.405008068,1.553963452
1,2037,33.36959697,30.00209736,36.73709657,0.787268823,0.393016398,1.577013588
1,2038,33.32519678,29.85650653,36.79388702,0.781256905,0.381630514,1.599354164
1,2039,33.28079659,29.71353184,36.84806133,0.775290896,0.370796554,1.621039805
1,2040,33.2363964,29.57296178,36.89983102,0.769370446,0.360467976,1.642117809
1,2041,33.19199621,29.43461138,36.94938103,0.763495207,0.350604232,1.662629476
1,2042,33.14759602,29.29831782,36.99687422,0.757664833,0.341169737,1.682611137
1,2043,33.10319583,29.16393684,37.04245481,0.751878983,0.332133058,1.702094967
1,2044,33.05879564,29.03133997,37.08625131,0.746137317,0.323466259,1.721109635
1,2045,33.01439545,28.90041216,37.12837873,0.740439496,0.315144387,1.739680826
1,2046,32.96999526,28.77104996,37.16894056,0.734785186,0.307145034,1.757831671
1,2047,32.92559507,28.6431599,37.20803024,0.729174055,0.299447997,1.775583095
1,2048,32.88119488,28.51665723,37.24573252,0.723605772,0.292034978,1.792954109
1,2049,32.83679469,28.39146482,37.28212456,0.718080012,0.284889344,1.809962055
1,2050,32.7923945,28.26751221,37.31727679,0.712596448,0.277995926,1.826622807
2,2021,33.44,33.44,33.44,1.39,1.39,1.39
2,2022,33.38147226,32.7597426,34.00320192,1.393228979,1.284566303,1.511083533
2,2023,33.32294452,32.44412553,34.20176352,1.396349382,1.237786364,1.575224655
2,2024,33.26441679,32.18790826,34.34092531,1.399476775,1.198780308,1.633773285
2,2025,33.20588905,31.96242942,34.44934868,1.402611171,1.163230723,1.691253557
2,2026,33.14736131,31.75657471,34.5381479,1.405752588,1.129602375,1.749412344
2,2027,33.08883357,31.56464267,34.61302447,1.408901041,1.09718531,1.80917674
2,2028,33.03030583,31.38324657,34.6773651,1.412056545,1.065608366,1.871141171
2,2029,32.97177809,31.2101802,34.73337599,1.415219116,1.034665434,1.935741817
2,2030,32.91325036,31.0439116,34.78258911,1.418388771,1.004239764,2.003333047
2,2031,32.85472262,30.88332571,34.82611953,1.421565525,0.97426645,2.074225733
2,2032,32.79619488,30.72758108,34.86480868,1.424749394,0.944712075,2.148708468
2,2033,32.73766714,30.57602425,34.89931003,1.427940393,0.91556288,2.227060326
2,2034,32.6791394,30.42813577,34.93014304,1.43113854,0.886817546,2.309559084
2,2035,32.62061166,30.28349465,34.95772868,1.434343849,0.858482591,2.396486893
2,2036,32.56208393,30.14175409,34.98241377,1.437556337,0.830569353,2.488134454
2,2037,32.50355619,30.00262439,35.00448799,1.44077602,0.803091963,2.584804277
2,2038,32.44502845,29.86586061,35.02419629,1.444002915,0.776065959,2.686813401
2,2039,32.38650071,29.73125347,35.04174795,1.447237036,0.74950732,2.794495775
2,2040,32.32797297,29.59862247,35.05732348,1.450478401,0.723431804,2.90820445
2,2041,32.26944523,29.46781066,35.07107981,1.453727026,0.69785448,3.028313678
2,2042,32.2109175,29.33868056,35.08315443,1.456982926,0.672789405,3.155220984
2,2043,32.15238976,29.21111093,35.09366858,1.460246119,0.648249414,3.289349258
2,2044,32.09386202,29.08499422,35.10272982,1.463516621,0.624245976,3.431148907
2,2045,32.03533428,28.9602345,35.11043406,1.466794447,0.600789113,3.581100095
2,2046,31.97680654,28.83674577,35.11686731,1.470079614,0.577887356,3.739715099
2,2047,31.91827881,28.71445061,35.122107,1.47337214,0.55554774,3.907540801
2,2048,31.85975107,28.593279,35.12622314,1.476672039,0.533775812,4.08516134
2,2049,31.80122333,28.47316736,35.1292793,1.47997933,0.512575665,4.273200941
2,2050,31.74269559,28.3540578,35.13133338,1.483294027,0.491949985,4.472326944
3,2021,34.08,34.08,34.08,1.24,1.24,1.24
3,2022,34.03559981,32.94980325,35.12139637,1.253329417,1.15227766,1.363243152
3,2023,33.99119962,32.63330217,35.34909707,1.26680212,1.124875226,1.426636105
3,2024,33.94679943,32.36231567,35.53128319,1.280419647,1.10697938,1.481034338
3,2025,33.90239924,32.11940558,35.68539291,1.294183557,1.093905174,1.531130046
3,2026,33.85799905,31.89603047,35.81996763,1.308095422,1.08385742,1.578725763
3,2027,33.81359886,31.68725128,35.93994645,1.322156833,1.075925439,1.624739623
3,2028,33.76919867,31.48990738,36.04848997,1.336369398,1.069574077,1.669714334
3,2029,33.72479848,31.30183185,36.14776512,1.350734741,1.06445838,1.714002516
3,2030,33.68039829,31.12146259,36.239334,1.365254505,1.060341277,1.757849009
3,2031,33.6359981,30.94762964,36.32436657,1.379930349,1.057051972,1.801432493
3,2032,33.59159791,30.7794299,36.40376593,1.394763952,1.054462874,1.84488855
3,2033,33.54719772,30.6161491,36.47824635,1.409757009,1.052475887,1.888323382
3,2034,33.50279753,30.45721077,36.5483843,1.424911235,1.051013808,1.93182241
3,2035,33.45839734,30.30214176,36.61465292,1.440228361,1.050014688,1.975455919
3,2036,33.41399716,30.15054804,36.67744627,1.455710139,1.049428003,2.019282889
3,2037,33.36959697,30.00209736,36.73709657,1.471358339,1.049211962,2.063353679
3,2038,33.32519678,29.85650653,36.79388702,1.48717475,1.049331585,2.107711964
3,2039,33.28079659,29.71353184,36.84806133,1.50316118,1.049757281,2.152396152
3,2040,33.2363964,29.57296178,36.89983102,1.519319456,1.050463787,2.197440444
3,2041,33.19199621,29.43461138,36.94938103,1.535651427,1.051429356,2.242875654
3,2042,33.14759602,29.29831782,36.99687422,1.552158958,1.052635134,2.288729829
3,2043,33.10319583,29.16393684,37.04245481,1.568843937,1.054064667,2.335028748
3,2044,33.05879564,29.03133997,37.08625131,1.585708272,1.05570351,2.38179631
3,2045,33.01439545,28.90041216,37.12837873,1.602753891,1.057538917,2.429054851
3,2046,32.96999526,28.77104996,37.16894056,1.619982743,1.059559584,2.476825397
3,2047,32.92559507,28.6431599,37.20803024,1.637396796,1.061755443,2.525127876
3,2048,32.88119488,28.51665723,37.24573252,1.654998042,1.064117494,2.57398129
3,2049,32.83679469,28.39146482,37.28212456,1.672788493,1.066637657,2.623403858
3,2050,32.7923945,28.26751221,37.31727679,1.690770184,1.069308658,2.673413138
4,2021,33,33,33,1.39,1.39,1.39
4,2022,32.90576102,32.01220451,33.79931753,1.410011137,1.26578619,1.57066922
4,2023,32.81152205,31.7371047,33.8859394,1.430310365,1.227977105,1.66598199
4,2024,32.71728307,31.48790557,33.94666057,1.450901831,1.203642133,1.748955162
4,2025,32.6230441,31.25577162,33.99031657,1.471789741,1.18610017,1.826291824
