PADD,Year,API,Sulfur
1,1985,31.18,0.99
1,1986,31.36,0.99
1,1987,32.17,0.98
1,1988,31.24,1.05
1,1989,31.49,1.1
1,1990,31.03,1.15
1,1991,31.02,1.14
1,1992,31.25,1.01
1,1993,31.36,0.99
1,1994,31.79,0.97
1,1995,31.68,0.95
1,1996,31.63,0.94
1,1997,33.03,0.94
1,1998,33.42,0.93
1,1999,33.38,0.96
1,2000,33,0.93
1,2001,31.83,0.89
1,2002,31.95,0.86
1,2003,32.38,0.86
1,2004,32,0.9
1,2005,32.39,0.83
1,2006,32.25,0.83
1,2007,32.21,0.84
1,2008,32.34,0.82
1,2009,32.45,0.76
1,2010,33.22,0.65
1,2011,32.83,0.71
1,2012,33.16,0.84
1,2013,34.23,0.76
1,2014,34.07,0.86
1,2015,34,0.82
1,2016,33.53,0.88
1,2017,34.34,0.86
1,2018,34.8,0.91
1,2019,35.45,0.84
1,2020,35.7,0.91
1,2021,36.06,0.89
2,1985,35.48,0.87
2,1986,35.1,0.94
2,1987,35.25,0.97
2,1988,34.88,1.01
2,1989,34.73,1
2,1990,34.5,1.01
2,1991,34.22,1.02
2,1992,33.94,1.09
2,1993,33.74,1.1
2,1994,34.25,1.11
2,1995,34.01,1.08
2,1996,33.92,1.08
2,1997,33.31,1.23
2,1998,32.94,1.23
2,1999,33.37,1.24
2,2000,33.03,1.32
2,2001,32.78,1.32
2,2002,32.84,1.31
2,2003,32.5,1.35
2,2004,31.96,1.37
2,2005,31.96,1.38
2,2006,32,1.34
2,2007,32.26,1.37
2,2008,32.54,1.35
2,2009,32.76,1.31
2,2010,33.11,1.26
2,2011,33.07,1.34
2,2012,32.94,1.37
2,2013,32.95,1.45
2,2014,32.72,1.47
2,2015,32.99,1.46
2,2016,32.5,1.56
2,2017,32.75,1.48
2,2018,33.04,1.45
2,2019,33.78,1.35
2,2020,33.4,1.44
2,2021,33.44,1.39
3,1985,34.07,0.85
3,1986,34,0.94
3,1987,33.47,0.98
3,1988,33.22,1.06
3,1989,33.43,1.07
3,1990,33.1,1.14
3,1991,32.89,1.2
3,1992,32.37,1.23
3,1993,32.32,1.2
3,1994,32.21,1.18
3,1995,31.93,1.16
3,1996,31.67,1.22
3,1997,31.32,1.33
3,1998,31.49,1.45
3,1999,31.33,1.48
3,2000,31.09,1.49
3,2001,30.32,1.64
3,2002,29.9,1.65
3,2003,30.31,1.65
3,2004,29.7,1.64
3,2005,29.66,1.64
3,2006,30.09,1.64
3,2007,29.85,1.65
3,2008,29.54,1.68
3,2009,29.55,1.61
3,2010,29.72,1.58
3,2011,29.76,1.54
3,2012,30.41,1.53
3,2013,29.66,1.54
3,2014,31.54,1.54
3,2015,31.23,1.47
3,2016,31.34,1.49
3,2017,31.99,1.45
3,2018,32.61,1.43
3,2019,33.54,1.27
3,2020,33.84,1.3
3,2021,34.08,1.24
4,1985,36.61,0.87
4,1986,36.24,0.81
4,1987,36.21,0.79
4,1988,36.09,0.76
4,1989,36,0.85
4,1990,35.45,0.92
4,1991,35.68,0.96
4,1992,35.16,1.08
4,1993,34.51,1.18
4,1994,34.33,1.22
4,1995,34.97,1.3
4,1996,33.64,1.31
4,1997,33.1,1.38
4,1998,33.18,1.35
4,1999,34.1,1.37
4,2000,33.16,1.4
4,2001,33.19,1.29
4,2002,32.99,1.4
4,2003,32.8,1.45
4,2004,32.54,1.35
4,2005,32.48,1.3
4,2006,32.94,1.32
4,2007,32.58,1.37
4,2008,32.44,1.34
4,2009,33.1,1.41
4,2010,33.08,1.33
4,2011,32.83,1.37
4,2012,33.3,1.37
4,2013,33.49,1.42
4,2014,33.38,1.33
4,2015,33.36,1.37
4,2016,33.36,1.38
4,2017,33.48,1.41
4,2018,32.66,1.48
4,2019,33.04,1.41
4,2020,32.26,1.49
4,2021,33,1.39
5,1985,25.01,1.07
5,1986,24.88,1.05
5,1987,25.21,1.07
5,1988,25.33,1.1
5,1989,25.85,1.11
5,1990,25.65,1.11
5,1991,25.18,1.14
5,1992,24.95,1.19
5,1993,25.39,1.16
5,1994,25.26,1.16
5,1995,25.51,1.18
5,1996,25.69,1.14
5,1997,26.08,1.24
5,1998,25.22,1.22
5,1999,26.67,1.24
5,2000,26.45,1.21
5,2001,26.82,1.23
5,2002,27.49,1.22
5,2003,27.65,1.23
5,2004,27.69,1.26
5,2005,27.67,1.28
5,2006,27.91,1.23
5,2007,28.29,1.25
5,2008,27.46,1.36
5,2009,27.79,1.29
5,2010,27.48,1.33
5,2011,27.4,1.35
5,2012,27.38,1.38
5,2013,27.66,1.39
5,2014,28.21,1.41
5,2015,28.53,1.3
5,2016,28.05,1.3
5,2017,28.42,1.35
5,2018,28.2,1.41
5,2019,28.61,1.4
5,2020,28.74,1.37
5,2021,28.76,1.25
